Player,Goals,Years,Country
Tranquillo Barnetta,1,2006-2010,Switzerland
Fredy Bickel,1,1938-1950,Switzerland
Georges Bregy,1,1994,Switzerland
Stephane Chapuisat,1,1994,Switzerland
Josip Drmic,1,2018,Switzerland
Gelson Fernandes,1,2010,Switzerland
Willy Jaeggi,1,1934,Switzerland
Admir Mehmedi,1,2014,Switzerland
Rene Quentin,1,1966,Switzerland
Heinz Schneiter,1,1962-1966,Switzerland
Haris Seferovic,1,2014,Switzerland
Philippe Senderos,1,2006-2010,Switzerland
Alain Sutter,1,1994,Switzerland
Jean Tamini,1,0,Switzerland
Genia Walaschek,1,1938,Switzerland
Rolf Wuethrich,1,1962,Switzerland
Steven Zuber,1,2018,Switzerland
Mohamed Kader,1,2006,Togo
Fakhreddine Ben Youssef,1,2018,Tunisia
Raouf Bouzaiene,1,2002,Tunisia
Dylan Bronn,1,2018,Tunisia
Mokhtar Douieb,1,1978,Tunisia
Nejib Ghommidh,1,1978,Tunisia
Radhi Jaidi,1,2002-2006,Tunisia
Zied Jaziri,1,2002-2006,Tunisia
Ali Kaabi,1,1978,Tunisia
Jaouhar Mnari,1,2006,Tunisia
Ferjani Sassi,1,2018,Tunisia
Skander Souayah,1,1998,Tunisia
Emre Belozoglu,1,2002,Turkey
Mustafa Erton,1,1954,Turkey
Erol Keskin,1,1954,Turkey
Bulent Korkmaz,1,2002,Turkey
Hakan Sukur,1,2002,Turkey
Ali Thani Jumaa,1,1990,UAE
Khalid Mubarak,1,1990,UAE
Maksym Kalinichenko,1,2006,Ukraine
Serhiy Rebrov,1,2006,Ukraine
Andriy Rusol,1,2006,Ukraine
Antonio Alzamendi,1,0,Uruguay
Javier Ambrois,1,1954,Uruguay
Pablo Bengoechea,1,0,Uruguay
Angel Cabrera,1,1962,Uruguay
Julio Cortes,1,1962-1966-1970,Uruguay
Victor Esparrago,1,1970-1974,Uruguay
Daniel Fonseca,1,1990,Uruguay
Enzo Francescoli,1,1986-1990,Uruguay
Jose Gimenez,1,2018,Uruguay
Diego Godin,1,2014,Uruguay
Ildo Maneiro,1,1970,Uruguay
Richard Morales,1,2002,Uruguay
Juan Mujica,1,1970,Uruguay
Ricardo Pavoni,1,1974,Uruguay
Alvaro Pereira,1,2010,Uruguay
Maximiliano Pereira,1,2010,Uruguay
Julio Perez,1,1950,Uruguay
Alvaro Recoba,1,2002,Uruguay
Pedro Rocha,1,1962-1966-1970-1974,Uruguay
Dario Rodriguez,1,2002,Uruguay
Hector Scarone,1,1930,Uruguay
Ernesto Vidal,1,1950,Uruguay
Michael Bradley,1,2010,USA
John Brooks,1,2014,USA
Jim Brown,1,1930,USA
Paul Caligiuri,1,1990-1994,USA
Aldo Donelli,1,1934,USA
Joseph Gaetjens,1,1950,USA
Julian Green,1,2014,USA
Jermaine Jones,1,2014,USA
Clint Mathis,1,2002,USA
Bruce Murray,1,1990,USA
John O Brien,1,2002-2006,USA
Earnie Stewart,1,1994-1998-2002,USA
Frank Wallace,1,1950,USA
Eric Wynalda,1,1990-1994-1998,USA
Sergei Aleinikov,1,1986-1990,USSR
Kakhi Asatiani,1,1970,USSR
Andrei Bal,1,1982-1986,USSR
Sergei Baltacha,1,1982,USSR
Anatoli Banishevski,1,1966,USSR
Oleg Blokhin,1,1982-1986,USSR
Aleksandr Chivadze,1,1982,USSR
Igor Dobrovolskyi,1,1990,USSR
Yuri Gavrilov,1,1982,USSR
Aleksandr Ivanov,1,1958,USSR
Vitali Khmelnitski,1,1970,USSR
Aleksei Mamykin,1,1962,USSR
Khoren Oganesian,1,1982,USSR
Oleg Protasov,1,1986-1990,USSR
Vasili Rats,1,1986-1990,USSR
Sergei Rodionov,1,1986,USSR
Ramaz Shengelia,1,1982,USSR
Nikita Simonian,1,1958,USSR
Pavel Yakovenko,1,0,USSR
Andrei Zygmantovich,1,1990,USSR
John Charles,1,1958,Wales
Terry Medwin,1,1958,Wales
Stjepan Bobek,1,1950-1954,Yugoslavia
Vladislav Bogicevic,1,1974,Yugoslavia
Dragan Dzajic,1,1974,Yugoslavia
Ivan Gudelj,1,1982,Yugoslavia
Josip Katalinski,1,1974,Yugoslavia
Blagoje Marjanovic,1,1930,Yugoslavia
Vojislav Melic,1,1962,Yugoslavia
Sinisa Mihajlovic,1,1998,Yugoslavia
Predrag Mijatovic,1,1998,Yugoslavia
Milos Milutinovic,1,1954-1958,Yugoslavia
Branko Oblak,1,1974,Yugoslavia
Tihomir Ognjanov,1,1950,Yugoslavia
Radivoje Ognjanovic,1,1958,Yugoslavia
Ilija Petkovic,1,1974,Yugoslavia
Vladimir Petrovic,1,1974-1982,Yugoslavia
Petar Radakovic,1,1962,Yugoslavia
Zdravko Rajkov,1,1958,Yugoslavia
Branislav Sekulic,1,1930,Yugoslavia
Josip Skoblar,1,1962,Yugoslavia
Safet Susic,1,1982-1990,Yugoslavia
Aleksandar Tirnanic,1,1930,Yugoslavia
Djordje Vujadinovic,1,1930,Yugoslavia
Branko Zebec,1,1954-1958,Yugoslavia
